Name,Assign,Date,Parent item,Status,Sub-item
Pillar #2,,"January 1, 2026 → April 30, 2026",,Not started,Giảm churn 11% → 8%. Target: Đạt 8% vào tháng 4 (https://www.notion.so/Gi-m-churn-11-8-Target-t-8-v-o-th-ng-4-2f3b0da449f180d78c9efbb62ebb74d8?pvs=21)
Pillar #3: Referal in app,,"February 1, 2026 → February 26, 2026",Pillar 3 (https://www.notion.so/Pillar-3-2f3b0da449f180009809d27cda9f80e5?pvs=21),Not started,
Pillar #3: Integration với một số app lớn,,"January 17, 2026 → March 19, 2026",Pillar 3 (https://www.notion.so/Pillar-3-2f3b0da449f180009809d27cda9f80e5?pvs=21),Not started,
"Pillar #1: Update usage các tính năng (Co-pilot, Translation)",,"January 19, 2026 → February 24, 2026",,Not started,
Giảm churn 11% → 8%. Target: Đạt 8% vào tháng 4,,"January 9, 2026 → May 8, 2026",Pillar #2 (https://www.notion.so/Pillar-2-2f3b0da449f1802282a3c208c5364a0e?pvs=21),Not started,
Pillar 3,,"January 17, 2026 → March 19, 2026",,Not started,"Pillar #3: Referal in app (https://www.notion.so/Pillar-3-Referal-in-app-2f3b0da449f180b99dd8f86b7aa9daec?pvs=21), Pillar #3: Integration với một số app lớn (https://www.notion.so/Pillar-3-Integration-v-i-m-t-s-app-l-n-2f3b0da449f180d7a1fbce083147dc59?pvs=21)"
#3,,"May 1, 2026 → September 1, 2026",,Not started,Tích hợp các nền tảng khác (https://www.notion.so/T-ch-h-p-c-c-n-n-t-ng-kh-c-2f3b0da449f180d6882ed04d81aa3e39?pvs=21)
Tích hợp các nền tảng khác,,"May 5, 2026 → September 1, 2026",#3 (https://www.notion.so/3-2f3b0da449f1802a96fee27ddce5a6b9?pvs=21),Not started,
#3,,"September 1, 2026 → December 5, 2026",,Not started,Thêm các integration (https://www.notion.so/Th-m-c-c-integration-2f3b0da449f1802b90dddd9431c880b1?pvs=21)
Thêm các integration,,"September 6, 2026 → November 29, 2026",#3 (https://www.notion.so/3-2f3b0da449f180d489dcffa890ea2a9c?pvs=21),Not started,